theta_rad,flux
0.0,1.8196232208156318
0.05609986894573586,1.817799626512889
0.11219973788324578,1.8177294075061436
0.1682996067992963,1.817195974019046
0.2243994757277991,1.8147639728048277
0.28049934469078464,1.8142521041816753
0.3365992136662545,1.8131610247114884
0.3926990826611923,1.812841936220944
0.44879895166246353,1.8118898087765536
0.5048988206388055,1.8155781321666264
0.5609986896508562,1.8153876744972375
0.6170985585943789,1.8149363686526925
0.6731984276172842,1.8160761093647957
0.7292982966278405,1.8173844810847457
0.7853981655955247,1.8183184478144112
0.8414980345942206,1.819365884793485
0.8975979035404059,1.8188438157158644
0.9536977725277196,1.8201762200962512
1.009797641505703,1.8215030579524296
1.065897510514536,1.8221461258019995
1.1219973795529068,1.8229638138174502
1.178097248524059,1.8253307308324465
1.2341971174958246,1.826694934839038
1.2902969865128906,1.8273823300888719
1.3463968554839667,1.8266235338445957
1.40249672443155,1.8279783126699833
1.458596593402482,1.8292509525903942
1.51469646243887,1.8300926724831243
1.5707963313604236,1.830286370085854
1.6268962000574287,1.8298978998541044
1.6829960686960457,1.828997054066914
1.7390959373405694,1.8285353974865677
1.7951958059724613,1.8272305284881605
1.8512956746080282,1.8258332008054092
1.9073955432475078,1.8250069806368137
1.9634954119027184,1.8246912124009385
2.019595280540125,1.824062893562355
2.075695149256207,1.8227881610705654
2.1317950178107465,1.821736579632741
2.1878948866472037,1.8206086520228388
2.243994755216393,1.8188625357125248
2.300094623925665,1.8188462478488157
2.3561944924811034,1.8184441024215234
2.4122943610178185,1.8162949852482737
2.4683942297386414,1.81583120049124
2.5244940982988626,1.8152953603827968
2.580593967123333,1.8149753493640484
2.6366938357027916,1.815248950071549
2.692793704420106,1.8148890527187682
2.7488935730166086,1.8145883369554712
2.8049934416112534,1.8147423352382273
2.86109331031624,1.8152657128376368
2.917193178883846,1.8166655371389824
2.9732930477092387,1.8174064212870817
3.0293929162801945,1.817563586993528
3.0854927849952185,1.8180067803718756
3.141592653589793,1.817781769069633
3.197692522535529,1.8198409683167054
3.2537923914730387,1.8246235259437078
3.3098922603890895,1.8260505898168824
3.365992129317592,1.8270805830804646
3.4220919982805778,1.8270987123776412
3.4781918672560477,1.8280140686104214
3.534291736250985,1.8281965405007763
3.5903916052522566,1.8282146707406226
3.6464914742285988,1.8272266939128485
3.702591343240649,1.8258733875023734
3.758691212184172,1.8263578686990611
3.814791081207077,1.8246112233353762
3.8708909502176336,1.8246178641983473
3.926990819185318,1.8246393050789231
3.9830906881840136,1.8231533167252623
4.039190557130199,1.8219666903967864
4.095290426117513,1.823022477293751
4.151390295095496,1.8221068749043736
4.207490164104329,1.8212354834324045
4.2635900331427,1.8206459848922958
4.319689902113852,1.8170589366493608
4.375789771085618,1.8154385247815914
4.431889640102684,1.8151784256506196
4.48798950907376,1.812203174042075
4.544089378021344,1.8115693763010745
4.600189246992275,1.8110522419502968
4.656289116028663,1.8108906389338926
4.712388984950216,1.812092328521407
4.768488853647222,1.8131728245265313
4.824588722285839,1.813975577379223
4.880688590930363,1.8124185373150317
4.936788459562255,1.8139405578419299
4.992888328197822,1.8158835499089696
5.048988196837301,1.8166220250584746
5.105088065492511,1.8166539901250183
5.161187934129918,1.818278688241052
5.217287802846,1.8190590426933722
5.273387671400539,1.8201201497221067
5.329487540236997,1.8221087727287077
5.3855874088061855,1.8227885434835902
5.441687277515458,1.8240427100788559
5.4977871460708965,1.8261262127270794
5.553887014607612,1.8248819035983694
5.6099868833284345,1.8260630279039802
5.666086751888655,1.8264458304598579
5.722186620713126,1.8257988594898036
5.778286489292585,1.8268248378094791
5.8343863580098985,1.8257558895217907
5.890486226606401,1.8254915989759746
5.946586095201046,1.8245899941672978
6.002685963906033,1.8240706264177862
6.058785832473639,1.8237500160789724
6.114885701299031,1.8228300937272455
6.170985569869988,1.8203639790687582
6.227085438585012,1.820133207090202
